pais,provincia_departamento,ciudad,property_type,rooms,bedrooms,bathrooms,surface_total,price_USD,precio_m2
Argentina,Capital Federal,Villa Crespo,Departamento,2.0,1.0,1.0,37,85000,2297.297297
Argentina,Capital Federal,Palermo,Departamento,6.0,4.0,4.0,300,1590000,5300
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,3.0,95,85329,898.2
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,1.0,60,22846,380.7666667
Argentina,Capital Federal,Balvanera,Departamento,3.0,2.0,1.0,45,80000,1777.777778
Colombia,Santander,Floridablanca,Apartamento,3.0,3.0,2.0,75,60556,807.4133333
Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,3.0,2.0,1.0,87,139000,1597.701149
Argentina,Capital Federal,Villa Crespo,Departamento,4.0,3.0,1.0,100,174500,1745
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,2.0,93,115607,1243.086022
Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,3.0,2.0,2.0,99,260000,2626.262626
Argentina,Capital Federal,Almagro,Departamento,2.0,1.0,1.0,56,138000,2464.285714
Argentina,Capital Federal,Caballito,Departamento,2.0,1.0,1.0,42,100000,2380.952381
Colombia,Risaralda,Pereira,Apartamento,3.0,3.0,3.0,121,96339,796.1900826
Argentina,Buenos Aires Costa Atlántica,Monte Hermoso,Departamento,5.0,3.0,2.0,105,260000,2476.190476
Argentina,Capital Federal,Recoleta,Departamento,2.0,1.0,1.0,57,145000,2543.859649
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,33,65900,1996.969697
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,35,65900,1882.857143
Argentina,Capital Federal,Belgrano,Departamento,4.0,3.0,3.0,171,1250000,7309.94152
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,2.0,96,121112,1261.583333
Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,4.0,2.0,1.0,60,59900,998.3333333
Argentina,Buenos Aires Costa Atlántica,Necochea,Departamento,2.0,1.0,1.0,39,73000,1871.794872
Argentina,Capital Federal,Palermo,Departamento,2.0,1.0,1.0,33,98000,2969.69697
Argentina,Capital Federal,Palermo,Departamento,3.0,2.0,1.0,80,189000,2362.5
Argentina,Neuquén,Confluencia,Departamento,5.0,2.0,1.0,115,300000,2608.695652
Argentina,Capital Federal,Recoleta,Departamento,3.0,2.0,1.0,73,342113,4686.479452
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,85,56427,663.8470588
Argentina,Capital Federal,Recoleta,Departamento,3.0,2.0,1.0,75,310000,4133.333333
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,103,86705,841.7961165
Argentina,Capital Federal,Palermo,Departamento,4.0,3.0,2.0,75,195000,2600
Argentina,Capital Federal,San Telmo,Departamento,4.0,3.0,2.0,109,228000,2091.743119
Argentina,Capital Federal,Recoleta,Departamento,5.0,2.0,2.0,178,540000,3033.707865
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,2.0,77,135000,1753.246753
Argentina,Buenos Aires Costa Atlántica,Pinamar,Departamento,1.0,1.0,1.0,30,65000,2166.666667
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,67,145000,2164.179104
Argentina,Capital Federal,Belgrano,Departamento,5.0,4.0,3.0,210,745000,3547.619048
Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,2.0,1.0,1.0,40,65000,1625
Colombia,Atlántico,Barranquilla,Apartamento,2.0,2.0,1.0,51,45351,889.2352941
Argentina,Bs.As. G.B.A. Zona Oeste,Ituzaingó,Departamento,2.0,1.0,1.0,48,95000,1979.166667
Argentina,Capital Federal,Palermo,Departamento,2.0,1.0,1.0,40,110000,2750
Argentina,Córdoba,Córdoba,Departamento,2.0,1.0,1.0,45,49800,1106.666667
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,75,74319,990.92
Argentina,Capital Federal,Palermo,Departamento,2.0,1.0,1.0,33,98000,2969.69697
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,2.0,92,107349,1166.836957
Argentina,Capital Federal,Villa Crespo,Departamento,1.0,1.0,1.0,42,107322,2555.285714
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,3.0,112,104597,933.9017857
Colombia,Antioquia,Envigado,Apartamento,3.0,3.0,3.0,63,52298,830.1269841
Argentina,Neuquén,Neuquén,Departamento,3.0,2.0,1.0,55,120000,2181.818182
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,2.0,80,72392,904.9
Argentina,Capital Federal,Palermo,Departamento,3.0,2.0,2.0,82,205000,2500
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,3.0,125,110102,880.816
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,2.0,86,97165,1129.825581
Argentina,Capital Federal,Colegiales,Departamento,2.0,1.0,1.0,41,108000,2634.146341
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,3.0,148,225709,1525.060811
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,4.0,280,261492,933.9
Colombia,Cundinamarca,Bogotá D.C,Apartamento,4.0,4.0,4.0,300,516102,1720.34
Argentina,Buenos Aires Costa Atlántica,Villa Gesell,Departamento,2.0,1.0,1.0,30,35000,1166.666667
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,76,70190,923.5526316
Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,2.0,1.0,1.0,55,153000,2781.818182
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,4.0,3.0,3.0,120,170000,1416.666667
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,34,49500,1455.882353
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,2.0,96,63309,659.46875
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,35,75000,2142.857143
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,86,63309,736.1511628
Argentina,Capital Federal,Barrio Norte,Departamento,2.0,1.0,1.0,47,142000,3021.276596
Argentina,Capital Federal,Chacarita,Departamento,4.0,3.0,1.0,95,171000,1800
Argentina,Bs.As. G.B.A. Zona Oeste,Ituzaingó,Departamento,1.0,1.0,1.0,30,45000,1500
Argentina,Capital Federal,Caballito,Departamento,2.0,1.0,1.0,48,124000,2583.333333
Argentina,Santa Fe,Rosario,Departamento,3.0,1.0,1.0,41,66000,1609.756098
Colombia,Antioquia,Envigado,Apartamento,1.0,1.0,2.0,113,230388,2038.831858
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,1.0,1.0,1.0,32,71900,2246.875
Argentina,Bs.As. G.B.A. Zona Norte,San Miguel,Departamento,2.0,1.0,1.0,38,51000,1342.105263
Colombia,Atlántico,Barranquilla,Apartamento,2.0,2.0,2.0,78,82576,1058.666667
Colombia,Antioquia,Medellín,Apartamento,2.0,2.0,2.0,64,68814,1075.21875
Argentina,Capital Federal,Villa Urquiza,Departamento,2.0,1.0,1.0,45,85000,1888.888889
Argentina,Capital Federal,Villa Crespo,Departamento,3.0,2.0,1.0,53,145000,2735.849057
Argentina,Bs.As. G.B.A. Zona Sur,Lomas de Zamora,Departamento,3.0,2.0,1.0,70,180000,2571.428571
Argentina,Capital Federal,Almagro,Departamento,1.0,1.0,1.0,26,65000,2500
Argentina,Bs.As. G.B.A. Zona Norte,San Miguel,Departamento,2.0,1.0,1.0,43,75000,1744.186047
Argentina,Capital Federal,Villa Crespo,Departamento,4.0,3.0,1.0,100,174500,1745
Colombia,Antioquia,Sabaneta,Apartamento,3.0,3.0,2.0,80,68814,860.175
Argentina,Capital Federal,Balvanera,Departamento,3.0,2.0,1.0,48,120000,2500
Argentina,Capital Federal,Recoleta,Departamento,5.0,3.0,2.0,125,400000,3200
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,34,49500,1455.882353
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,5.0,309,688137,2226.980583
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,42,79900,1902.380952
Colombia,Antioquia,Envigado,Apartamento,3.0,3.0,2.0,123,129370,1051.788618
Argentina,Capital Federal,Palermo,Departamento,1.0,1.0,1.0,46,140000,3043.478261
Argentina,Capital Federal,Palermo,Departamento,3.0,2.0,3.0,102,455000,4460.784314
Colombia,Bolívar,Cartagena,Apartamento,4.0,4.0,4.0,226,454170,2009.60177
Argentina,Capital Federal,Barrio Norte,Departamento,4.0,3.0,3.0,223,950000,4260.089686
